Hospital,Country,Latitude,Longitude
Black Lion Hospital,Ethiopia,9.02014,38.74958
Arua Regional Referral Hospital,Uganda,3.01955,30.9134
Gulu Hospital,Uganda,2.77767,32.29834
Butabika National Referral Mental Hospital,Uganda,0.31495,32.65829
Mbarara Regional Refferral Hospital,Uganda,-0.61582,30.65665
Moi Teaching And Referral Hospital,Kenya,0.51155,35.28041
KEMRI-Wellcome Trust,Kenya,-3.62992,39.8568
Nelson Mandela Academic Hospital,South Africa,-31.58884,28.76613
Komani Hosp - C.M.E,South Africa,-31.89701,26.87344
Tower Hospital,South Africa,-32.76997,26.62296
Fort England Psychiatric Hospital,South Africa,-33.31796,26.54476
Dora Nginza Hospital,South Africa,-33.87952,25.56141
Elizabeth Donkin Hospital - Psychiatric Dept,South Africa,-33.97956,25.62774
Durbanville,South Africa,-33.82594,18.65319
Bellville,South Africa,-33.89426,18.62943
Parow Community Health Centre,South Africa,-33.9051,18.58724
Elsies River Day Hospital,South Africa,-33.93169,18.57808
Delft,South Africa,-33.96144,18.64725
Crossroads,South Africa,-33.99352,18.59678
Gugulethu Community Health Centre,South Africa,-33.98941,18.57247
Hanover Park Community Health Centre,South Africa,-33.99404,18.52757
Lentegeur Psychiatric Hospital,South Africa,-34.02462,18.61568
Khayelitsha Hospital,South Africa,-34.05055,18.67471
Mitchell's Plain District Hospital,South Africa,-34.0219,18.6131
Doctor Abdurahman Avenue,South Africa,-33.96085,18.51086
Lotus River Community Health Centre - Radiography Dept,South Africa,-34.02627,18.5068
Grassy Park,South Africa,-34.06339,18.51069
Lady Michaelis Clinic,South Africa,-34.02159,18.46531
Hout Bay Community Health Centre - T.B Unit,South Africa,-34.05409,18.34124
Maitland Community Health Centre - T.B Unit,South Africa,-33.92204,18.48905
Valkenberg Hospital,South Africa,-33.93704,18.47779
Groote Schuur Hospital,South Africa,-33.94103,18.46171
Woodstock Community Health Centre,South Africa,-33.93199,18.44893
Robbie Nurock Community Health Centre Pharmacy,South Africa,-33.93068,18.42088
Green Point,South Africa,-33.90455,18.40683
Amanuel Mental Hospital,Ethiopia,9.028943,38.722914
Kilifi County Hospital,Kenya,-3.631782,39.85654
Coast General Teaching Hospital,Kenya,-4.048869,39.6742
Port Reitz Sub-County Hospital,Kenya,-4.03934,39.6031
Malindi Sub-County Hospital,Kenya,-3.22624,40.125
Du Noon,South Africa,-33.827,18.5296
